slug,look,type,season,designer,city,models,keywords
20261,8,woman,spring-summer-2017,roksanda,london,,"['dress', 'silk', 'purple', 'balloon-sleeves', 'doll', 'light-pink', 'purple-dress', 'dress-on-pants', 'fluid-dress', 'fluid', 'satin-dress']"
20262,9,woman,spring-summer-2017,roksanda,london,,"['dress', 'long-dress', 'pleats', 'silk', 'satin', 'rust', 'pink', 'light-pink', 'doll', 'fluid-dress', 'fluid', 'satin-dress', 'sunglasses']"
20263,10,woman,spring-summer-2017,roksanda,london,,"['dress', 'midi-dress', 'print', 'sleeveless', 'rust', 'fluid-dress', 'fluid']"
20264,11,woman,spring-summer-2017,roksanda,london,,"['dress', 'midi-dress', 'silk', 'satin', 'v-neck', 'balloon-sleeves', 'rust', 'fluid-dress', 'fluid', 'leg-of-mutton-sleeve']"
20265,12,woman,spring-summer-2017,roksanda,london,,"['coat', 'silk', 'satin', 'gold', 'elastic', 'jumpsuit', 'check', 'quadrille', 'v-neck', 'grey', 'grey-jumpsuit']"
20255,1,woman,spring-summer-2017,roksanda,london,['karly-loyce'],"['coat', 'top', 'silk', 'pants', 'pink-pants', 'rust', 'dusty-pink', 'long-coat', 'fluid', 'high-necked-top', 'black-hair']"
19778,2,woman,spring-summer-2017,mother-of-pearl,london,,"['dress', 'pearls', 'doll', 'circus', 'pleats', 'midi-dress', 'blue-dress', 'fluid', 'high-necked-dress', 'blue', 'raw-edge', 'gathers', 'midi', 'fluid-dress']"
19780,4,woman,spring-summer-2017,mother-of-pearl,london,,"['floral', 'jacket', 'skirt', 'delicate', 'pastoral', 'blouse', 'long-skirt', 'blue', 'pearls', 'floral-on-light-background', 'total-floral', 'culotte', 'total-look', 'white-jacket', 'white-pants', 'cropped-pants', 'top', 'transparent', 'white']"
19781,5,woman,spring-summer-2017,mother-of-pearl,london,,"['red', 'skirt', 'tee-shirt-1', 'embroidery', 'red-shirt', 'shirt', 'bold-colours', 'extra-long-sleeves', 'white-tee-shirt', 'blue', 'blue-skirt', 'high-waist', 'highwaist-skirt', 'raw-edge', 'pearls', 'white', 'top', 'midi', 'midi-skirt']"
19782,6,woman,spring-summer-2017,mother-of-pearl,london,['lea-julian'],"['top', 'total-look', 'jodhpur', 'shirt', 'pagoda-sleeve', 'extra-long-sleeves', 'flounced-sleeves', 'monochrome', 'total-blue', 'total-monochrome-look', 'blue-shirt', 'tank-top', 'high-waist', 'highwaist-pants', 'blue-pants', 'pearls', 'brown-hair']"
19678,29,woman,spring-summer-2017,versus-versace,london,['lineisy-montero'],"['sport', 'tee-shirt-1', 'logo-tee-shirt', 'patch', 'logo', 'slogan', 'print', 'brown', 'silver', 'skirt', 'mini-skirt', 'pattern', 'pocket', 'round-neck', 'short-sleeves', 'brown-hair']"
19677,30,woman,spring-summer-2017,versus-versace,london,,"['pants', 'stripes', 'multicolour', 'pattern', 'print', 'jumper', 'transparent', 'black', 'wide-leg-oversize-pants', 'logo', 'slogan', 'silver', 'animal', 'jungle', 'vertical-stripes', 'man']"
