season,designer,number of looks
spring-summer-2017,antonio-berardi,43
spring-summer-2017,anya-hindmarch,40
spring-summer-2017,ashish,33
spring-summer-2017,barbara-casasola,29
spring-summer-2017,bora-aksu,29
spring-summer-2017,burberry,78
spring-summer-2017,christopher-kane,38
spring-summer-2017,daks,22
spring-summer-2017,david-koma,36
spring-summer-2017,emilia-wickstead,39
spring-summer-2017,erdem,39
spring-summer-2017,eudon-choi-1,43
spring-summer-2017,gareth-pugh,35
spring-summer-2017,house-of-holland,31
spring-summer-2017,jasper-conran,44
spring-summer-2017,joseph,43
spring-summer-2017,jw-anderson,43
spring-summer-2017,marques-almeida,43
spring-summer-2017,mary-katrantzou,33
spring-summer-2017,mother-of-pearl,34
spring-summer-2017,mulberry,48
spring-summer-2017,osman,33
spring-summer-2017,paul-smith,36
spring-summer-2017,peter-pilotto,35
spring-summer-2017,preen-by-thornton-bregazzi,40
spring-summer-2017,pringle-of-scotland,25
spring-summer-2017,roksanda,34
spring-summer-2017,ryan-lo,25
spring-summer-2017,sharon-wauchob,35
spring-summer-2017,simone-rocha,40
spring-summer-2017,teatum-jones,35
spring-summer-2017,temperley-london,36
spring-summer-2017,toga,40
spring-summer-2017,topshop,36
spring-summer-2017,versus-versace,42
spring-summer-2018,a-w-a-k-e-mode,57
spring-summer-2018,antonio-berardi,43
spring-summer-2018,anya-hindmarch,40
spring-summer-2018,ashish,38
spring-summer-2018,ashley-williams,27
spring-summer-2018,bora-aksu,37
spring-summer-2018,burberry,84
spring-summer-2018,chalayan,45
spring-summer-2018,christopher-kane,47
spring-summer-2018,cividini,2
spring-summer-2018,daks,39
spring-summer-2018,david-koma,37
spring-summer-2018,emilia-wickstead,42
spring-summer-2018,emilio-de-la-morena,34
spring-summer-2018,emporio-armani,113
spring-summer-2018,erdem,46
spring-summer-2018,eudon-choi-1,33
spring-summer-2018,fashion-east,46
spring-summer-2018,fyodor-golan,32
spring-summer-2018,halpern,30
spring-summer-2018,house-of-holland,30
spring-summer-2018,jasper-conran,43
spring-summer-2018,joseph,44
spring-summer-2018,julien-macdonald,40
spring-summer-2018,jw-anderson,39
spring-summer-2018,lunyee,30
spring-summer-2018,margaret-howell,53
spring-summer-2018,marques-almeida,43
spring-summer-2018,marta-jakubowski,30
spring-summer-2018,mary-katrantzou,37
spring-summer-2018,mila-schon,1
spring-summer-2018,molly-goddard,25
spring-summer-2018,mother-of-pearl,32
spring-summer-2018,mulberry,41
spring-summer-2018,natasha-zinko,29
spring-summer-2018,nicopanda,34
spring-summer-2018,palmer-harding,26
spring-summer-2018,pam-hogg,30
spring-summer-2018,paula-knorr,26
spring-summer-2018,peter-pilotto,42
spring-summer-2018,ports-1961,36
spring-summer-2018,preen-by-thornton-bregazzi,39
spring-summer-2018,pringle-of-scotland,31
spring-summer-2018,rejina-pyo,39
spring-summer-2018,richard-malone,20
spring-summer-2018,roksanda,34
spring-summer-2018,roland-mouret,40
spring-summer-2018,ryan-lo,29
spring-summer-2018,sharon-wauchob,33
spring-summer-2018,simone-rocha,40
spring-summer-2018,teatum-jones,29
spring-summer-2018,temperley-london,38
spring-summer-2018,toga,40
spring-summer-2018,versus-versace,49
