designer,spring-summer-2017,spring-summer-2018,Number of looks change,Percentage of looks change
emporio-armani,0.0,113.0,113.0,--
a-w-a-k-e-mode,0.0,57.0,57.0,--
margaret-howell,0.0,53.0,53.0,--
fashion-east,0.0,46.0,46.0,--
chalayan,0.0,45.0,45.0,--
julien-macdonald,0.0,40.0,40.0,--
roland-mouret,0.0,40.0,40.0,--
rejina-pyo,0.0,39.0,39.0,--
ports-1961,0.0,36.0,36.0,--
emilio-de-la-morena,0.0,34.0,34.0,--
nicopanda,0.0,34.0,34.0,--
fyodor-golan,0.0,32.0,32.0,--
pam-hogg,0.0,30.0,30.0,--
marta-jakubowski,0.0,30.0,30.0,--
halpern,0.0,30.0,30.0,--
lunyee,0.0,30.0,30.0,--
natasha-zinko,0.0,29.0,29.0,--
ashley-williams,0.0,27.0,27.0,--
palmer-harding,0.0,26.0,26.0,--
paula-knorr,0.0,26.0,26.0,--
molly-goddard,0.0,25.0,25.0,--
richard-malone,0.0,20.0,20.0,--
daks,22.0,39.0,17.0,77.27
christopher-kane,38.0,47.0,9.0,23.68
bora-aksu,29.0,37.0,8.0,27.59
peter-pilotto,35.0,42.0,7.0,20.0
versus-versace,42.0,49.0,7.0,16.67
erdem,39.0,46.0,7.0,17.95
pringle-of-scotland,25.0,31.0,6.0,24.0
burberry,78.0,84.0,6.0,7.69
ashish,33.0,38.0,5.0,15.15
mary-katrantzou,33.0,37.0,4.0,12.12
ryan-lo,25.0,29.0,4.0,16.0
emilia-wickstead,39.0,42.0,3.0,7.69
cividini,0.0,2.0,2.0,--
temperley-london,36.0,38.0,2.0,5.56
joseph,43.0,44.0,1.0,2.33
mila-schon,0.0,1.0,1.0,--
david-koma,36.0,37.0,1.0,2.78
toga,40.0,40.0,0.0,0.0
simone-rocha,40.0,40.0,0.0,0.0
anya-hindmarch,40.0,40.0,0.0,0.0
roksanda,34.0,34.0,0.0,0.0
marques-almeida,43.0,43.0,0.0,0.0
antonio-berardi,43.0,43.0,0.0,0.0
preen-by-thornton-bregazzi,40.0,39.0,-1.0,-2.5
house-of-holland,31.0,30.0,-1.0,-3.23
jasper-conran,44.0,43.0,-1.0,-2.27
mother-of-pearl,34.0,32.0,-2.0,-5.88
sharon-wauchob,35.0,33.0,-2.0,-5.71
jw-anderson,43.0,39.0,-4.0,-9.3
teatum-jones,35.0,29.0,-6.0,-17.14
mulberry,48.0,41.0,-7.0,-14.58
eudon-choi-1,43.0,33.0,-10.0,-23.26
barbara-casasola,29.0,0.0,-29.0,--
osman,33.0,0.0,-33.0,--
gareth-pugh,35.0,0.0,-35.0,--
paul-smith,36.0,0.0,-36.0,--
topshop,36.0,0.0,-36.0,--
