tag,total pct of presence,pct of presence in 2017,pct of presence in 2018
dress,48.82,51.48,47.11
black,28.28,25.78,29.89
white,27.09,23.04,29.7
pants,26.59,24.26,28.08
midi,22.54,25.25,20.79
shirt,20.81,19.24,21.82
ski,20.42,20.68,20.25
skirt,20.04,20.46,19.77
pattern,19.5,9.43,25.98
print,18.96,15.97,20.89
fluid,18.93,13.92,22.16
blue,18.46,18.94,18.15
midi-dress,16.31,20.08,13.89
mini,16.2,15.59,16.59
asymmetrical,15.87,11.56,18.64
floral,15.6,19.85,12.87
long-sleeves,15.39,7.0,20.79
jacket,15.0,12.24,16.78
sleeveless,14.56,11.03,16.83
transparent,14.5,12.09,16.05
frill,14.26,15.67,13.36
top,13.66,12.85,14.19
oversize,13.37,11.79,14.38
red,13.16,10.49,14.87
doll,12.74,13.38,12.33
bell,12.18,9.05,14.19
stripes,11.61,11.94,11.4
delicate,11.22,11.03,11.35
embellishment,10.75,7.22,13.01
pink,10.57,9.2,11.45
coat,10.18,10.27,10.13
evening-wear,9.68,3.8,13.45
gathers,9.59,12.62,7.63
total-look,9.32,11.25,8.07
monochrome,9.2,5.17,11.79
suit,9.11,7.22,10.32
man,9.08,8.14,9.69
long-dress,9.02,7.38,10.08
belt,9.02,6.16,10.86
art,8.99,7.45,9.98
pleats,8.87,10.87,7.58
embroidery,8.4,15.97,3.52
volume,8.07,6.39,9.15
head-accessory,8.07,1.67,12.18
lace,7.89,11.56,5.53
high-waist,7.74,5.86,8.95
girly,7.38,7.6,7.24
brown,7.35,6.01,8.22
fluid-dress,7.26,6.08,8.02
wide-leg-oversize-pants,7.26,5.17,8.61
belted,7.26,5.1,8.66
short-sleeves,7.17,1.98,10.52
white-dress,7.14,7.6,6.85
cut-out,6.94,5.17,8.07
high-necked,6.94,4.79,8.32
knit,6.91,7.15,6.75
black-white,6.73,5.7,7.39
asymmetrical-dress,6.67,1.37,10.08
ruffle,6.49,5.1,7.39
black-dress,6.43,6.31,6.51
drawstring,6.43,0.68,10.13
short-dress,6.37,8.75,4.84
midi-skirt,6.13,5.17,6.75
urban,6.13,3.42,7.88
slit,6.07,5.48,6.46
pocket,6.01,6.16,5.92
vertical-stripes,6.01,4.87,6.75
grey,5.95,5.48,6.26
mini-dress,5.92,5.78,6.02
brown-hair,5.72,3.65,7.05
check,5.69,3.95,6.8
sequin,5.69,3.95,6.8
beading,5.45,6.08,5.04
minimal,5.42,5.32,5.48
tie,5.36,4.56,5.87
beige,5.3,5.17,5.38
strap,5.21,2.05,7.24
extra-long-sleeves,5.18,4.79,5.43
party,5.15,2.28,7.0
white-shirt,5.12,4.41,5.58
applique,5.12,8.59,2.89
navy,5.09,4.94,5.19
navy-blue,5.0,4.94,5.04
graphic,4.97,4.79,5.09
black-pants,4.94,5.17,4.79
blue-dress,4.88,4.03,5.43
satin,4.85,1.6,6.95
light-blue,4.82,5.55,4.35
metal,4.82,3.12,5.92
pastel-sorbet,4.58,4.71,4.5
floral-dress,4.53,3.04,5.48
knot,4.53,2.97,5.53
balloon-sleeves,4.5,4.26,4.65
yellow,4.47,4.87,4.21
green,4.44,3.12,5.28
sport,4.38,4.87,4.06
off-the-shoulder,4.38,3.5,4.94
bicolour,4.35,2.13,5.77
patch,4.32,6.46,2.94
red-dress,4.29,5.78,3.33
geometric,4.26,6.84,2.59
blouse,4.23,6.01,3.08
orange,4.2,4.26,4.16
zip,4.17,3.95,4.31
logo,4.14,3.57,4.5
bold-colours,4.08,2.97,4.79
collar,4.08,2.05,5.38
cropped-pants,3.99,2.74,4.79
light-pink,3.96,2.21,5.09
pattern-mix,3.9,1.14,5.68
v-neck,3.84,4.87,3.18
fringes,3.72,2.89,4.26
jumper,3.69,3.04,4.11
leather,3.69,6.31,2.01
layer,3.69,1.29,5.23
ribbon,3.66,4.33,3.23
shoulder-pads,3.63,0.68,5.53
silver,3.6,4.18,3.23
spaghetti-strap,3.6,0.68,5.48
statement-sleeves,3.6,1.37,5.04
deconstructed,3.6,1.37,5.04
extra-long-pants,3.57,0.61,5.48
sparkling,3.48,1.44,4.79
total-floral,3.42,3.35,3.47
metallic,3.42,1.29,4.79
total-white,3.39,1.29,4.75
pink-dress,3.36,2.51,3.91
silk,3.33,6.84,1.08
stitch,3.33,2.36,3.96
romantic,3.25,3.5,3.08
masculine,3.25,3.27,3.23
raw-edge,3.19,1.06,4.55
white-pants,3.19,1.67,4.16
multicolour,3.16,3.35,3.03
shirt-dress,3.16,4.49,2.3
bra,3.13,2.81,3.33
highwaist-skirt,3.1,1.14,4.35
highwaist-pants,3.1,1.29,4.26
blazer,3.1,0.38,4.84
mini-skirt,3.07,3.19,2.98
wrap,3.07,2.97,3.13
chestnut-hair,3.04,3.19,2.94
texture,3.04,0.23,4.84
crop-top,3.01,3.12,2.94
fitted,2.98,0.68,4.45
black-hair,2.95,1.98,3.57
tailoring,2.95,1.98,3.57
babydoll,2.95,2.21,3.42
red-carpet,2.95,1.22,4.06
round-neck,2.89,2.05,3.42
animal,2.89,4.03,2.15
pattern-all-over,2.83,2.43,3.08
high-necked-dress,2.8,3.57,2.3
tulle,2.8,2.59,2.94
long-skirt,2.77,3.65,2.2
jumpsuit,2.74,2.97,2.59
long-coat,2.74,1.22,3.72
floral-on-light-background,2.74,3.73,2.1
button,2.74,0.46,4.21
plunging-neckline,2.71,2.51,2.84
shorts,2.71,0.91,3.86
plaid,2.71,0.76,3.96
body,2.68,2.51,2.79
thin-stripes,2.65,3.5,2.1
floral-print,2.59,0.46,3.96
tee-shirt-1,2.56,2.97,2.3
glitter,2.56,1.75,3.08
dress-on-pants,2.53,2.74,2.4
double-breast,2.53,1.44,3.23
total-monochrome-look,2.5,0.68,3.67
teenager,2.5,5.1,0.83
bold-shoulders,2.5,0.53,3.77
slit-dress,2.47,0.99,3.42
circus,2.44,4.49,1.13
pastoral,2.44,4.87,0.88
blue-pants,2.44,1.9,2.79
black-skirt,2.44,1.9,2.79
patchwork,2.41,3.5,1.71
prince,2.41,3.42,1.76
mono-sleeve,2.38,1.29,3.08
bow,2.35,1.37,2.98
slogan,2.26,1.6,2.69
elastic,2.2,4.33,0.83
hood,2.2,0.99,2.98
horizontal-stripes,2.17,3.19,1.52
purple,2.14,2.21,2.1
khaki,2.14,2.59,1.86
bustier,2.14,1.44,2.59
denim,2.11,3.04,1.52
utility,2.11,2.81,1.66
flounced-sleeves,2.08,1.67,2.35
gold,2.05,2.51,1.76
white-skirt,2.05,1.44,2.45
lingerie,2.02,1.44,2.4
office-wear,1.99,0.23,3.13
polka-dot,1.99,1.22,2.5
rib-knit,1.96,2.97,1.32
asymmetrical-skirt,1.96,0.61,2.84
fish,1.94,2.28,1.71
colour-block,1.94,1.14,2.45
